,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
658,867331-4,IGREJA PRESBITERIANA RENOVADA DE FORTALEZA,R DES FROTA 201  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730270,Evangélicas,-3.7962962,-38.5881085,Parque São José,Parque São José,86
659,256741-5,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-3.7954558,-38.5643282,Maraponga,Maraponga,82
660,499317-9,IGREJA TENRIKYO CENTRAL DE FORTALEZA,R  ALTAIR 200  MARAPONGA FORTALEZA - CE CEP:60711010,Sem Definição,-3.7954558,-38.5643282,Maraponga,Maraponga,82
661,44463-4,IGREJA UNIVERSAL DO REINO DE DEUS,R  ANTONIO POMPEU 1979  FARIAS BRITO FORTALEZA - CE CEP:60015107,Evangélicas,-3.7318463,-38.5409623,Centro,Farias Brito,15
662,442061-6,IGREJA UNIVERSAL DO REINO DE DEUS,R  REINO UNIDO 277  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820140,Evangélicas,-3.7850975,-38.503921,Jardim Das Oliveiras,Jardim das Oliveiras,62
663,74859-5,IGREJA UNIVERSAL DO REINO DE DEUS,R  24 DE MAIO 670  CENTRO FORTALEZA - CE CEP:60020000,Evangélicas,-3.727555,-38.5324343,Centro,Centro,10
664,171634-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  DA ABOLICAO 3773  MUCURIPE FORTALEZA - CE CEP:60165085,Evangélicas,-3.7253722,-38.4859368,Meireles,Mucuripe,26
665,476875-2,IGREJA UNIVERSAL DO REINO DE DEUS,AV DEP CASTELO DE CASTRO 888  JANGURUSSU FORTALEZA - CE CEP:60866680,Evangélicas,-3.8374009,-38.5217967,Jangurussu,Jangurussu,61
666,172905-5,IGREJA UNIVERSAL DO REINO DE DEUS,AV ENG SANTANA JUNIOR 664  PAPICU FORTALEZA - CE CEP:60175652,Evangélicas,-3.735049,-38.481672,Papicu,Papicu,27
667,367202-6,IGREJA UNIVERSAL DO REINO DE DEUS,AV  CONTORNO NORTE 1150  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763730,Evangélicas,-3.8138441,-38.5873295,Conjunto Esperança,Novo Mondubim,120
668,500090-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  OSCAR ARARIPE 1930  BOM JARDIM FORTALEZA - CE CEP:60543451,Evangélicas,-3.7880452,-38.6083417,Bom Jardim,Bom Jardim,72
669,314442-9,IGREJA UNIVERSAL DO REINO DE DEUS,R  JOSE MENDONCA 221  GENIBAÚ FORTALEZA - CE CEP:60534090,Evangélicas,-3.7596009,-38.6028694,Genibaú,Genibaú,44
670,185275-2,IGREJA UNIVERSAL DO REINO DE DEUS,AV  ZEZE DIOGO 992  CAIS DO PORTO FORTALEZA - CE CEP:60180012,Evangélicas,-3.7157005,-38.4654343,Cais do Porto,Cais do Porto,110
671,202186-2,IGREJA UNIVERSAL DO REINO DE DEUS,R  ESTADO DO RIO 664  PAN AMERICANO FORTALEZA - CE CEP:60440145,Evangélicas,-3.756308999999999,-38.569654,Demócrito Rocha,Panamericano,104
672,343905-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV GAL OSORIO DE PAIVA 4633  CANINDEZINHO FORTALEZA - CE CEP:60730243,Evangélicas,-3.799658,-38.5967202,Parangaba,Canindezinho,74
673,610728-1,IGREJA UNIVERSAL DO REINO DE DEUS,R  APOCALIPSE 692  PLANALTO AYRTON SENNA FORTALEZA - CE CEP:60766470,Evangélicas,-3.8333953,-38.5718587,Quintino Cunha,Planalto Ayrton Senna,115
