inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
156983-0,IGREJA DE DEUS NO BRASIL,AV  INDEPENDENCIA 2977  JARDIM IRACEMA FORTALEZA - CE CEP:60353165,Sem Definição,-37.226.885,-386.055.245,Vila Velha,Vila Velha,39
146802-2,IGREJA DO EVANGELHO QUADRANGULAR,R  ROTARY 303  AMADEU FURTADO FORTALEZA - CE CEP:60455490,Evangélicas,-37.432.602,-385.612.283,Amadeu Furtado,Amadeu Furtado,4
234130-1,IGREJA DO EVANGELHO QUADRANGULAR,R  TERESINA 276  HENRIQUE JORGE FORTALEZA - CE CEP:60521094,Evangélicas,-37.578.738,-385.911.693,Henrique Jorge,Henrique Jorge,45
87015-3,IGREJA DO EVANGELHO QUADRANGULAR,R NSA DAS GRACAS 421  PIRAMBÚ FORTALEZA - CE CEP:60310770,Evangélicas,-37.107.144,-385.521.255,Pirambu,Pirambu,31
430609-0,IGREJA DO EVANGELHO QUADRANGULAR,R  CARIUS 669  VILA VELHA FORTALEZA - CE CEP:60347075,Evangélicas,-37.213.746,-385.950.188,Jardim Guanabara,Vila Velha,39
38241-8,IGREJA DO EVANGELHO QUADRANGULAR,R  CRUZ ABREU 1009  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Evangélicas,-37.571.889,-385.069.795,São João do Tauape,Tauape,35
677299-4,IGREJA DO EVANGELHO QUADRANGULAR,R  GIRASSOL 385  SERRINHA FORTALEZA - CE CEP:60743465,Evangélicas,-37.903.178,-385.373.512,Serrinha,Serrinha,107
83191-3,IGREJA DO EVANGELHO QUADRANGULAR,R  ALVARO DE ALENCAR 810  CARLITO PAMPLONA FORTALEZA - CE CEP:60311750,Evangélicas,-37.189.251,-385.588.977,Jacarecanga,Carlito Pamplona,9
701690-5,IGREJA DO EVANGELHO QUADRANGULAR,R  OSCAR LEITAO 530  PAUPINA FORTALEZA - CE CEP:60872685,Evangélicas,-38.369.665,-3.848.968.929.999.990,Paupina,Paupina,68
227613-5,IGREJA DO EVANGELHO QUADRANGULAR,R  EUSEBIO DE QUEIROS 1521  ITAOCA FORTALEZA - CE CEP:60410224,Evangélicas,-3.772.712,-385.560.392,Itaoca,Itaoca,99
287789-9,IGREJA DO EVANGELHO QUADRANGULAR,R  JOAQUIM FELICIO 947  MESSEJANA FORTALEZA - CE CEP:60840115,Evangélicas,-38.306.396,-384.862.773,Messejana,Messejana,65
198799-2,IGREJA DO EVANGELHO QUADRANGULAR,R  PARAIBA 895  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440130,Evangélicas,-37.599.647,-385.671.859,Demócrito Rocha,Demócrito Rocha,97
370755-5,IGREJA DO EVANGELHO QUADRANGULAR,R  DALVA DE OLIVEIRA 821  Q054L-20 JANGURUSSU FORTALEZA - CE CEP:60870220,Evangélicas,-38.461.001,-385.274.203,Conjunto Palmeiras,Conjunto Palmeiras,117
183196-8,IGREJA DO EVANGELHO QUADRANGULAR,R SAO LUIS DO CURU 234  VICENTE PINZON FORTALEZA - CE CEP:60175560,Evangélicas,-3.724.405,-38.479.346,Vicente Pinzon,Vicente Pinzón,37
195711-2,IGREJA DO EVANGELHO QUANDRANGULAR,R  CARLOS CHAGAS 425  BONSUCESSO FORTALEZA - CE CEP:60541704,Evangélicas,-3.780.597.799.999.990,-385.839.887,Bonsucesso,Bonsucesso,73
4600-0,IGREJA DO EVANGELIO PLENO,PC CEL JOAO FONTES 366  MONTE CASTELO FORTALEZA - CE CEP:60326440,Evangélicas,-37.265.878,-385.471.858,Monte Castelo,Monte Castelo,25
343529-6,IGREJA DO EVANGELIO PLENO,R STO AMARO   Q014 L014 PICI FORTALEZA - CE CEP:60760665,Evangélicas,-37.542.173,-385.781.093,Pici,Pici,106
47214-0,IGREJA EM FORTALEZA,R  LAURO MAIA 1196  FÁTIMA FORTALEZA - CE CEP:60055295,Evangélicas,-3.750.091.799.999.990,-385.224.964,José Bonifacio,Fátima,16
47213-1,IGREJA EM FORTALEZA,R  LAURO MAIA 1140  FÁTIMA FORTALEZA - CE CEP:60055295,Evangélicas,-37.498.041,-385.224.552,José Bonifacio,Fátima,16
133580-4,IGREJA EM FORTALEZA,R  TAQUARI 2455  VAGO GRANJA PORTUGAL FORTALEZA - CE CEP:60541525,Evangélicas,-37.759.355,-386.026.462,Granja Portugal,Granja Portugal,79
605703-9,"IGREJA EVANG.ASSEMB.DEUS,MISSAO MIN.EM FORT.EST.CEARA",R  6 (CONJ. ARVOREDO) 1652  IGREJA MONDUBIM FORTALEZA - CE CEP:60752360,Evangélicas,-38.193.457,-385.812.943,Mondubim,Mondubim,83
333991-2,IGREJA EVANGELICA ADONAI,R CEL ABELARDO RODRIGUES 54  VILA VELHA FORTALEZA - CE CEP:60347365,Evangélicas,-3.711.868,-385.897.915,Vila Velha,Vila Velha,39
201712-1,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R STA CATARINA 206  PAN AMERICANO FORTALEZA - CE CEP:60440795,Evangélicas,-3.753.422.699.999.990,-385.652.632,Demócrito Rocha,Panamericano,104
92894-1,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  ALVARO DE ALENCAR 141  CARLITO PAMPLONA FORTALEZA - CE CEP:60311750,Evangélicas,-37.124.556,-385.571.673,Jacarecanga,Carlito Pamplona,9
45700-0,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R GAL SAMPAIO 1572  CENTRO FORTALEZA - CE CEP:60020030,Evangélicas,-37.322.406,-385.325.444,Centro,Centro,10
192066-9,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  SILVA BAIMA 735  DOM LUSTOSA FORTALEZA - CE CEP:60526065,Evangélicas,-3.754.852,-385.844.049,Dom Lustosa,Dom Lustosa,43
45684-5,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  24 DE MAIO   VAGO CENTRO FORTALEZA - CE CEP:60020000,Evangélicas,-37.284.106,-385.324.901,Centro,Centro,10
527863-5,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  02 SANTANA I 380  MONDUBIM FORTALEZA - CE CEP:60767620,Evangélicas,-37.973.809,-386.175.844,Não identificado,Granja Lisboa,78
267594-3,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  VICENTE NOBRE MACEDO 654  MESSEJANA FORTALEZA - CE CEP:60841110,Evangélicas,-38.281.356,-384.849.512,Messejana,Messejana,65
891012-0,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  BELGICA 893  MARAPONGA FORTALEZA - CE CEP:60710790,Evangélicas,-37.894.504,-38.565.588,Maraponga,Maraponga,82
652066-9,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,AV DES GONZAGA 74  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60823012,Evangélicas,-3.787.751.799.999.990,-385.045.442,Cidade dos Funcionários,Cidade dos Funcionários,54
45701-9,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R GAL SAMPAIO 1582  CENTRO FORTALEZA - CE CEP:60020030,Evangélicas,-3.732.491.399.999.990,-3.853.267.719.999.990,Centro,Centro,10
636500-0,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,R  VICENTE NOBRE MACEDO 654  A MESSEJANA FORTALEZA - CE CEP:60841110,Evangélicas,-38.281.356,-384.849.512,Messejana,Messejana,65
362882-5,IGREJA EVANGELICA ASSEMB DE DEUS-MINIST INTERNACIONAL BETHEL,R  JATI 554  Q00C MONDUBIM FORTALEZA - CE CEP:60347460,Evangélicas,-38.237.468,-385.668.476,Mondubim,Mondubim,83
66683-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  204 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
430660-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  1 DE JANEIRO 983  PARANGABA FORTALEZA - CE CEP:60710435,Evangélicas,-3.784.185,-385.693.998,Parangaba,Parangaba,105
153538-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  TOMAS RODRIGUES 522  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60361000,Evangélicas,-37.416.087,-385.939.324,Antônio Bezerra,Antônio Bezerra,40
66710-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1013  1013 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.091,-38.536.211,Centro,Centro,10
282544-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  TRAJANO DE MORAIS 575  PASSARÉ FORTALEZA - CE CEP:60861710,Evangélicas,-38.129.155,-38.524.055,Passaré,Passaré,88
294052-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PDE RODOLFO 823  MANOEL SÁTIRO FORTALEZA - CE CEP:60764210,Evangélicas,-38.037.565,-385.880.061,Manuel Sátiro,Novo Mondubim,120
258719-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R TEN BOTELHO 20  MONDUBIM FORTALEZA - CE CEP:60761530,Evangélicas,-38.148.386,-385.580.328,Mondubim,Mondubim,83
66669-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 989  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.131,-38.536.037,Centro,Centro,10
66707-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  26 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
454747-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  JOSE MARTINS 2180  GRANJA LISBOA FORTALEZA - CE CEP:60540545,Evangélicas,-37.857.687,-386.100.449,Granja Lisboa,Granja Lisboa,78
66696-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  13 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
682249-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  JOAO AREAS 900  MANOEL SÁTIRO FORTALEZA - CE CEP:60713410,Evangélicas,-37.978.726,-385.763.829,Manuel Sátiro,Manoel Sátiro,81
423430-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  SAGRADA FAMILIA (AEROLANDIA) 62  AEROLÂNDIA FORTALEZA - CE CEP:60850260,Evangélicas,-37.805.105,-385.130.857,Aerolândia,Aerolândia,91
55831-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R FRE MANSUETO 1106  MEIRELES FORTALEZA - CE CEP:60175070,Evangélicas,-37.340.947,-384.888.318,Meireles,Meireles,24
151074-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R SAO PEDRO (DIAS MACEDO) 288  DIAS MACÊDO FORTALEZA - CE CEP:60860140,Evangélicas,-37.846.798,-385.226.493,Dias Macedo,Dias Macêdo,98
253475-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DR JUSTA ARAUJO 162  SERRINHA FORTALEZA - CE CEP:60741025,Evangélicas,-37.775.401,-385.508.498,Serrinha,Serrinha,107
235142-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO VIRGILIO MORAIS 465  AUTRAN NUNES FORTALEZA - CE CEP:60526720,Evangélicas,-37.526.131,-3.859.672.339.999.990,Autran Nunes,Autran Nunes,41
66674-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  101 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66700-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  17 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
217521-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  VINTE E TRES DE JUNHO 1887  GRANJA LISBOA FORTALEZA - CE CEP:60540515,Evangélicas,-37.818.807,-38.608.669,Granja Lisboa,Granja Lisboa,78
193569-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  1 DE MAIO (BONSUCESSO) 641  BONSUCESSO FORTALEZA - CE CEP:60541658,Evangélicas,-37.830.916,-385.884.589,Bonsucesso,Bonsucesso,73
297178-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  BERNARDO MANUEL 13261  1 PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760000,Evangélicas,-38.338.739,-385.618.584,Serrinha,Prefeito José Walter,89
629614-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MOGNO 267  L12Q11 CAJAZEIRAS FORTALEZA - CE CEP:60864505,Evangélicas,-3.804.527,-385.105.741,Cajazeiras,Cajazeiras,52
66677-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  104 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66678-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  105 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66687-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 961  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.174,-385.358.453,Centro,Centro,10
66686-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 957  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.182.699.999.990,-38.535.818,Centro,Centro,10
108932-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MANUEL MOURA 678  BARRA DO CEARÁ FORTALEZA - CE CEP:60330780,Evangélicas,-37.145.416,-385.872.368,Barra do Ceará,Barra do Ceará,6
189285-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO MIRAMAR DA PONTE 872  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,Evangélicas,-3.762.727,-385.864.498,João XXIII,Henrique Jorge,45
66699-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  16 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
189284-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R PRO MIRAMAR DA PONTE 872  2 HENRIQUE JORGE FORTALEZA - CE CEP:60521065,Evangélicas,-3.762.727,-385.864.498,João XXIII,Henrique Jorge,45
158456-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R MAJ ADELINO 275  QUINTINO CUNHA FORTALEZA - CE CEP:60352520,Evangélicas,-37.363.889,-386.008.802,Quintino Cunha,Quintino Cunha,48
178620-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,Evangélicas,-37.661.612,-385.121.518,Alto da Balança,Alto da Balança,93
151071-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  JOAO FONSECA 205  DIAS MACÊDO FORTALEZA - CE CEP:60860410,Evangélicas,-37.850.885,-385.227.314,Dias Macedo,Dias Macêdo,98
66701-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  18 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
236203-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ELESBAO VELOSO 183 PARTE IGREJA_EVANG¿¿LICA_ASS.DE_DEUS AUTRAN NUNES FORTALEZA - CE CEP:60526380,Evangélicas,-37.519.351,-385.925.198,Autran Nunes,Dom Lustosa,43
38728-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  CRUZ ABREU 204  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Evangélicas,-37.581.647,-38.514.259,São João do Tauape,Tauape,35
27071-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R ALM RUFINO 625  A 1 VILA UNIÃO FORTALEZA - CE CEP:60420075,Evangélicas,-3.767.519,-385.354.226,Vila União,Vila União,109
260261-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  LEA POMPEU   SN-6 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821490,Evangélicas,-3.785.543,-384.963.054,Jardim Das Oliveiras,Jardim das Oliveiras,62
527710-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  12 (LOT. PARQUE SANTANA) 166  MONDUBIM FORTALEZA - CE CEP:60767720,Evangélicas,-38.138.843,-385.808.897,Mondubim,Mondubim,83
66676-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  103 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
90869-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV TEN LISBOA 2802  CARLITO PAMPLONA FORTALEZA - CE CEP:60310195,Evangélicas,-37.188.658,-385.607.361,Presidente Kennedy,Carlito Pamplona,9
178621-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,Evangélicas,-37.661.612,-385.121.518,Alto da Balança,Alto da Balança,93
119048-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  WASHINGTON LUIZ 627  VILA VELHA FORTALEZA - CE CEP:60347110,Evangélicas,-3.716.304,-38.594.411,Vila Velha,Vila Velha,39
160632-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  VASCO DA GAMA 718  MONTESE FORTALEZA - CE CEP:60420440,Evangélicas,-3.762.420.799.999.990,-38.548.478,Montese,Montese,103
66672-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1005  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.260.783,-385.361.466,Centro,Centro,10
66688-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 965  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.653,-385.358.727,Centro,Centro,10
66705-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  24 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
95252-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MARCILIO DIAS 1020  PIRAMBÚ FORTALEZA - CE CEP:60310750,Evangélicas,-37.103.609,-385.548.098,Pirambu,Pirambu,31
105410-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  FRANCISCO CALACA 313  CRISTO REDENTOR FORTALEZA - CE CEP:60337387,Evangélicas,-37.048.509,-385.693.465,Cristo Redentor,Cristo Redentor,12
132931-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  1 DE MAIO (BONSUCESSO) 2612  GRANJA PORTUGAL FORTALEZA - CE CEP:60541312,Evangélicas,-37.782.576,-386.047.114,Granja Portugal,Granja Portugal,79
66682-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  203 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
424335-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  DA CACHOEIRA 184  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820080,Evangélicas,-37.852.924,-385.086.279,Jardim Das Oliveiras,Jardim das Oliveiras,62
55830-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R FRE MANSUETO 1090  MEIRELES FORTALEZA - CE CEP:60175070,Evangélicas,-3.733.936,-384.888.318,Meireles,Meireles,24
66679-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  106 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66689-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 969  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.566,-385.359.001,Centro,Centro,10
66693-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 985  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.218,-385.360.097,Centro,Centro,10
354420-6,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  VIII (CIDADE OESTE) 1167  QUINTINO CUNHA FORTALEZA - CE CEP:60351780,Evangélicas,-3.728.697.899.999.990,-386.023.923,Quintino Cunha,Quintino Cunha,48
66704-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  23 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
66680-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  201 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66698-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  15 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
193568-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  1 DE MAIO (BONSUCESSO) 641  BONSUCESSO FORTALEZA - CE CEP:60541658,Evangélicas,-37.830.916,-385.884.589,Bonsucesso,Bonsucesso,73
343870-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV GAL OSORIO DE PAIVA 5431  BOM JARDIM FORTALEZA - CE CEP:60731335,Evangélicas,-38.047.964,-386.016.396,Parangaba,Canindezinho,74
592999-7,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  FROTA PESSOA 3  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60352260,Evangélicas,-3.737.297,-38.592.395,Antônio Bezerra,Antônio Bezerra,40
8417-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R MAJ WEYNE 1603  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,Evangélicas,-37.452.788,-38.548.354,Jardim América,Rodolfo Teófilo,34
66685-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  206 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
222853-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  OSCAR FRANCA 697  BOM JARDIM FORTALEZA - CE CEP:60543366,Evangélicas,-3.792.603.699.999.990,-385.980.321,Bom Jardim,Bom Jardim,72
127012-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MARIO CAMPOS 611  JARDIM GUANABARA FORTALEZA - CE CEP:60346215,Evangélicas,-37.231.714,-385.875.189,Jardim Iracema,Jardim Guanabara,20
66695-5,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  12 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
85841-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DOM QUINTINO 161  JACARECANGA FORTALEZA - CE CEP:60310520,Evangélicas,-37.134.361,-38.547.693,Jacarecanga,Jacarecanga,18
151073-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R SAO PEDRO (DIAS MACEDO) 296  DIAS MACÊDO FORTALEZA - CE CEP:60860140,Evangélicas,-37.847.461,-385.227.141,Dias Macedo,Dias Macêdo,98
128697-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  CARLOS GONDIM 191  JARDIM GUANABARA FORTALEZA - CE CEP:60346452,Evangélicas,-37.210.496,-385.906.622,Jardim Guanabara,Jardim Guanabara,20
66684-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1001  205 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-3.726.087,-385.361.192,Centro,Centro,10
66670-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 993  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.044,-385.360.644,Centro,Centro,10
66673-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 1009  1009 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.260.696,-38.536.174,Centro,Centro,10
206014-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  MELO OLIVEIRA 764  JÓQUEI CLUBE FORTALEZA - CE CEP:60520315,Evangélicas,-37.722.127,-385.782.489,Jóquei Clube,Jóquei Clube,101
382455-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  7 (CONJ. MIRASSOL)   L013 Q004 PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743270,Evangélicas,-37.948.055,-385.419.446,Não identificado,Itaperi,100
252329-9,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ANTONIO TEIXEIRA LEITE (ITAPERI) 832  SERRINHA FORTALEZA - CE CEP:60742820,Evangélicas,-37.882.178,-385.386.232,Serrinha,Serrinha,107
127825-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  RIO SOLIMOES 438  FLORESTA FORTALEZA - CE CEP:60340210,Evangélicas,-37.223.194,-38.579.807,Floresta,Floresta,17
584164-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  ELISIARIO MENDES 50  Q-21 PARQUE IRACEMA FORTALEZA - CE CEP:60824180,Evangélicas,-3.810.185.799.999.990,-384.970.171,Messejana,Parque Iracema,66
260262-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  LEA POMPEU   SN-6 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821490,Evangélicas,-3.785.543,-384.963.054,Jardim Das Oliveiras,Jardim das Oliveiras,62
28328-2,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,AV  DOS EXPEDICIONARIOS 4703  PARREÃO FORTALEZA - CE CEP:60410305,Evangélicas,-37.598.071,-385.394.578,Fátima,Parreão,30
66697-1,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 971  14 CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.523,-385.359.138,Centro,Centro,10
80542-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R NAT FEIJO 388  CARLITO PAMPLONA FORTALEZA - CE CEP:60326220,Evangélicas,-372.192,-3.855.465,Monte Castelo,Monte Castelo,25
94482-3,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R DOM QUINTINO 650  PIRAMBÚ FORTALEZA - CE CEP:60310520,Evangélicas,-37.107.542,-385.551.162,Pirambu,Pirambu,31
132930-8,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  1 DE MAIO (BONSUCESSO) 2612  GRANJA PORTUGAL FORTALEZA - CE CEP:60541312,Evangélicas,-37.782.576,-386.047.114,Granja Portugal,Granja Portugal,79
199162-0,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  PARANA 715  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440104,Evangélicas,-37.584.416,-385.688.573,Demócrito Rocha,Demócrito Rocha,97
66690-4,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,R  LIBERATO BARROSO 973  CENTRO FORTALEZA - CE CEP:60030161,Evangélicas,-37.261.479,-385.359.275,Centro,Centro,10
