,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
83,83,285004-4,ARQUIDIOCESE DE FORTALEZA,R PDE PEDRO DE ALENCAR 281  MESSEJANA FORTALEZA - CE CEP:60840280,Católica Apostólica Romana,-38.302.625,-384.937.148,Messejana,Messejana,65
84,84,582158-4,ASSEMBLEIA DE DEUS RIOS DE AGUA VIVA,R  VIA COLETORA A PQ SAO MATEUS 785  MONDUBIM FORTALEZA - CE CEP:60768010,Evangélicas,-38.160.988,-385.807.897,Mondubim,Mondubim,83
128,129,354729-9,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  F (LOT. CENTRO SUL) 42  PLANOURBANIZACAO-RSAOLUIZ PARANGABA FORTALEZA - CE CEP:60740155,Outras religiosidades,-3.775.767,-385.559.626,Parangaba,Parangaba,105
129,130,347041-5,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISQUINHA PORTELA 2660  QUINTINO CUNHA FORTALEZA - CE CEP:60351840,Outras religiosidades,-3.728.213.499.999.990,-385.994.464,Quintino Cunha,Quintino Cunha,48
130,131,543068-2,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  AMETISTA 321  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,Outras religiosidades,-37.222.424,-385.513.728,Carlito Pamplona,Carlito Pamplona,9
131,132,293068-4,ASSOCIACAO BIBLICA E CULTURAL BOAS NOVAS DO REINO,R  FRANCISCO ALMEIDA 245  CONJUNTO ESPERANÇA FORTALEZA - CE CEP:60763595,Outras religiosidades,-38.175.168,-385.909.888,Conjunto Esperança,Conjunto Esperança,76
132,133,319738-7,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO SOLON FARIAS 509  SAPIRANGA-COITÉ FORTALEZA - CE CEP:60833172,Outras religiosidades,-37.925.517,-384.766.348,Cambeba,Sapiranga/Coité,64
133,134,175095-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO HERACLITO 196  VICENTE PINZON FORTALEZA - CE CEP:60181245,Outras religiosidades,-373.135,-384.798.523,Vicente Pinzon,Vicente Pinzón,37
134,135,324991-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CHICO FRANCA 710  MESSEJANA FORTALEZA - CE CEP:60871100,Outras religiosidades,-38.345.771,-384.966.951,Messejana,Messejana,65
135,136,89249-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  DIOGUINHO 5720 OUTRO TEMPLO RELIGIOSO PRAIA DO FUTURO II FORTALEZA - CE CEP:60183706,Outras religiosidades,-37.638.491,-384.424.548,Vicente Pinzon,Praia do Futuro II,114
136,137,282250-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  PEDRO VERISSIMO 3536  PASSARÉ FORTALEZA - CE CEP:60861680,Outras religiosidades,-3.813.223.799.999.990,-385.284.983,Passaré,Passaré,88
137,138,293286-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RAQUEL PIRES RIBEIRO 495  MONDUBIM FORTALEZA - CE CEP:60767255,Outras religiosidades,-3.820.278,-3.857.952,Mondubim,Mondubim,83
138,139,110549-3,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  WALTER POMPEU 670  ÁLVARO WEYNE FORTALEZA - CE CEP:60337120,Outras religiosidades,-37.118.086,-385.683.999,Álvaro Weyne,Álvaro Weyne,3
139,140,494609-0,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  13 (CJ SITIO DO CORREGO) 500  BARROSO FORTALEZA - CE CEP:60863013,Outras religiosidades,-38.188.482,-385.722.435,Mondubim,Mondubim,83
140,141,500429-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV  CONTORNO SUL (CONJ. SAO CRISTOVAO) 600  LTS 03. PL 4 E 5 JANGURUSSU FORTALEZA - CE CEP:60866590,Outras religiosidades,-38.376.622,-385.194.787,Jangurussu,Jangurussu,61
141,142,162116-5,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R FRE VICENTE SALVADOR 431  PARREÃO FORTALEZA - CE CEP:60410405,Outras religiosidades,-37.615.766,-385.406.953,Parreão,Parreão,30
142,143,38470-4,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CRUZ ABREU 604  TEMPLORELIGIOSO SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,Outras religiosidades,-37.579.089,-385.105.413,São João do Tauape,Tauape,35
143,144,279527-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  FRANCISCO VILELA 290  PARQUE SANTA MARIA FORTALEZA - CE CEP:60861140,Outras religiosidades,-37.977.648,-385.157.922,Boa Vista,Boa Vista/Castelão,95
144,145,239156-2,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R DR JOAO AMORA 528  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,Outras religiosidades,-37.996.525,-385.790.689,Manuel Sátiro,Manoel Sátiro,81
145,146,119161-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  RERIUTABA 1415  VILA VELHA FORTALEZA - CE CEP:60330591,Outras religiosidades,-37.157.048,-385.912.273,Vila Velha,Vila Velha,39
146,147,133881-1,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  CARLOS CHAGAS 2595  GRANJA PORTUGAL FORTALEZA - CE CEP:60541555,Outras religiosidades,-37.750.491,-386.032.437,Granja Portugal,Granja Portugal,79
147,148,403959-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R  ARACA 225  BONSUCESSO FORTALEZA - CE CEP:60545380,Outras religiosidades,-3.754.594,-385.846.919,Dom Lustosa,Dom Lustosa,43
